traj,X,Y,Z
16,63.7518,61.0033,121.511
16,64.903,60.0399,121.3336
16,63.6619,59.403,121.2665
16,62.4425,59.7386,120.9375
16,61.4284,59.1574,120.5234
16,61.9236,60.1483,119.9854
16,61.3889,61.3471,119.7232
16,60.8493,62.5902,119.7661
16,62.0805,62.0345,119.1303
16,62.3766,60.9843,120.1692
16,61.5816,61.9404,120.6989
16,60.6915,60.9712,120.7647
16,59.8553,60.5284,121.5015
16,60.0135,60.9169,122.3591
16,60.0441,60.0032,122.8225
16,60.7086,60.9738,123.1546
16,62.172,61.8182,122.6015
16,62.1838,61.3305,121.7016
16,63.1692,59.945,122.0458
16,63.8916,58.9655,121.6506
16,64.0741,57.7235,121.5511
16,64.1207,59.1531,121.1009
16,62.6816,59.3714,121.4148
16,64.0362,59.0992,121.5169
16,65.0502,59.2396,120.5569
16,64.2996,60.1583,121.0683
16,64.8149,59.455,120.2292
16,64.5766,59.6639,121.4547
16,65.1108,60.5668,121.9768
16,66.0646,59.7775,121.9216
16,65.9022,59.1572,121.031
16,66.9615,58.4687,120.2746
16,67.584,59.5658,120.5877
16,67.1493,59.3321,121.6571
16,67.2135,60.5781,121.7953
16,66.5568,59.6501,121.5605
16,65.8621,60.4714,122.2977
16,65.5968,61.9548,122.157
16,64.8537,61.1259,121.594
16,64.0989,61.0307,120.8545
16,63.8045,61.9906,120.4992
16,62.502,60.8048,120.9107
16,63.4585,62.1764,120.3708
16,63.5503,60.6961,120.2938
16,62.779,59.5824,120.6429
16,63.3442,59.6008,121.3216
16,64.6811,59.4176,121.2314
16,64.5495,59.6355,122.1294
16,64.9535,60.9463,122.0287
16,64.3397,61.3941,122.9636
16,65.4444,61.8305,122.9244
17,63.4853,61.0312,121.3757
17,64.3243,61.0489,122.4304
17,63.5646,59.9862,122.101
17,64.6251,60.7343,122.5148
17,64.4019,62.2847,121.9688
17,64.189,63.6044,122.0238
17,63.0159,63.0722,122.0011
17,62.669,63.8308,121.4945
17,63.8715,64.4413,121.4787
17,62.9485,63.2252,121.9991
17,61.8471,63.4849,121.1559
17,61.1396,62.6266,120.6035
17,61.4517,63.478,121.4723
17,60.4777,63.0063,122.1151
17,59.6837,64.0243,121.2584
17,59.8311,62.9073,122.1794
17,58.5419,63.0255,122.4043
17,59.8997,63.2275,122.2975
17,59.9098,62.1939,122.8206
17,59.252,63.5875,122.9715
17,58.9349,62.1351,123.2781
17,58.9354,63.5615,123.154
17,58.59,62.6383,122.3976
17,57.3023,62.2423,122.1907
17,56.5076,63.2348,121.7259
17,56.8912,64.3619,121.8791
17,56.0976,64.0193,121.0398
17,57.2865,62.7181,121.5054
17,58.5092,62.7202,121.9706
17,57.0096,62.6293,122.2975
17,57.9712,64.0784,121.6058
17,58.5535,62.5495,121.5787
17,58.1325,63.6439,120.7868
17,57.3202,63.6024,121.9288
17,56.4342,63.9695,122.62
17,55.9493,63.0949,123.0132
17,57.0982,62.8042,123.3623
17,55.976,63.6175,122.7244
17,57.2899,63.1895,123.2351
17,56.0948,63.6448,122.5833
17,57.2094,62.6967,123.0908
17,56.2157,61.8444,122.7934
17,55.5322,61.3295,121.8753
17,55.0808,60.8935,121.0176
17,55.3018,60.6667,122.3443
17,54.8432,60.2928,121.1555
17,54.6366,59.5514,120.4009
17,56.1795,59.7863,121.0372
17,56.4732,61.3908,120.9171
17,56.7865,59.8958,120.98
17,56.6737,58.9353,120.7785
18,63.0535,61.1611,121.3637
18,63.2723,62.3919,121.4622
18,63.3644,62.9311,122.5428
18,63.6381,62.9527,121.3967
18,64.6225,63.1024,120.7927
18,65.8318,61.8155,121.0954
18,65.2555,61.3056,121.7727
18,66.2426,60.5623,121.8006
18,66.6557,61.0539,122.5812
18,66.9008,59.8271,122.3363
18,68.0464,60.1343,122.6441
18,68.9113,59.8661,121.6969
18,68.0494,60.7953,121.5722
18,68.8198,61.7512,121.8152
18,70.0499,61.3016,122.2487
18,69.0976,62.1172,122.5514
18,68.6019,62.3356,121.7733
18,68.1354,61.4953,122.6772
18,67.6094,60.3068,122.5138
18,68.8966,59.9898,122.2003
18,67.9684,59.0821,122.0286
