traj,encoder1,encoder2,encoder3,X,Y,Z,angle1,angle2,angle3
2,42.5101,53.804,48.4937,66.4662,59.7668,121.4034,2.8817,1.5935,-2.2581
2,46.7288,57.9349,49.6362,66.6252,61.037,121.0985,4.4538,4.3711,1.1243
2,45.3226,53.1888,46.9995,68.0372,60.8104,121.5249,-1.4856,-5.173,-3.0396
2,44.7073,57.4954,49.1968,66.7674,61.4182,122.046,0.3714,4.7648,2.3674
2,43.6526,60.6595,50.7788,66.9253,61.2023,122.8309,-1.3181,3.636,1.9261
2,45.2347,59.5169,47.6147,67.6863,62.0002,123.3274,1.9174,-1.0496,-3.3959
2,42.5101,55.8255,42.4292,68.9349,61.8914,123.0174,-2.943,-4.1058,-5.3984
2,40.8401,58.7259,43.0444,69.9114,62.7585,122.682,-2.0004,3.1939,1.1665
2,40.928,54.8587,41.1108,69.7879,63.8713,122.1644,0.3499,-4.2928,-2.2702
2,45.3226,59.6048,44.978,70.7077,64.5695,121.588,4.677,4.9346,4.2353
2,47.6956,61.5384,43.396,69.775,65.565,121.906,2.7957,2.1589,-2.0588
2,46.2015,58.638,38.2983,70.8424,65.2163,121.1406,-1.7309,-3.3384,-5.4363
2,48.8382,63.3841,42.6929,70.2808,66.2562,120.8299,2.9315,4.8857,4.7951
2,49.8929,61.3626,45.5933,70.6161,64.7466,121.3144,0.0857,-2.1256,3.2148
2,48.0472,63.9993,43.9233,70.6631,63.527,121.3467,-2.0818,2.8494,-1.2938
2,46.8167,65.1419,40.4956,71.0332,63.9766,120.2127,-1.7725,1.3806,-3.78
2,47.8714,65.054,37.2437,70.166,63.5309,119.7048,1.4123,0.482,-3.7338
2,43.8284,60.9232,36.2769,70.5341,62.0379,119.6469,-4.2646,-4.486,-1.4123
2,44.6194,57.4075,34.1675,70.9144,61.2631,118.554,1.0858,-3.7088,-2.2603
2,41.9827,52.6614,29.7729,72.5635,61.8759,119.088,-2.8964,-5.1135,-4.6451
2,37.764,51.8704,29.5972,73.6149,61.9268,119.4288,-4.578,-0.5196,0.1768
2,34.9515,51.2552,31.5308,72.5176,63.1183,118.9874,-3.1004,-0.5723,2.4025
2,36.0941,53.013,28.8062,71.4116,63.3767,118.72,1.565,1.7268,-3.1026
2,40.6644,56.9681,30.4761,70.5964,63.2828,118.0937,4.9812,4.248,1.8641
2,44.3558,61.7142,34.6069,69.8147,62.0109,118.8188,3.9992,5.0946,4.523
2,43.8284,63.1204,38.6499,70.1721,63.5074,118.3438,-0.6018,1.691,4.5062
2,46.3773,65.1419,44.0112,70.3426,62.0524,118.4521,2.7493,2.3849,5.7292
2,43.389,61.011,45.1538,68.85,62.7247,118.218,-3.4515,-4.0364,0.0311
